time,open,high,low,close
2022/01/15 22:30,375.88,380.34,375.49,380.13
2022/01/16 02:30,375.88,380.34,375.49,380.13
2022/01/16 06:30,375.88,380.34,375.49,380.13
2022/01/16 10:30,375.88,380.34,375.49,380.13
2022/01/16 14:30,375.88,380.34,375.49,380.13
2022/01/16 18:30,375.88,380.34,375.49,380.13
2022/01/16 22:30,375.88,380.34,375.49,380.13
2022/01/17 02:30,375.88,380.34,375.49,380.13
2022/01/17 06:30,375.88,380.34,375.49,380.13
2022/01/17 10:30,375.88,380.34,375.49,380.13
2022/01/17 14:30,375.88,380.34,375.49,380.13
2022/01/17 18:30,375.88,380.34,375.49,380.13
2022/01/17 22:30,375.88,380.34,375.49,380.13
2022/01/18 02:30,375.88,380.34,375.49,380.13
2022/01/18 06:30,375.88,380.34,375.49,380.13
2022/01/18 10:30,375.88,380.34,375.49,380.13
2022/01/18 14:30,374.09,376.2,371.11,371.58
2022/01/18 18:30,371.48,373.62,369.78,370.8
2022/01/18 22:30,371.48,373.62,369.78,370.8
2022/01/19 02:30,371.48,373.62,369.78,370.8
2022/01/19 06:30,371.48,373.62,369.78,370.8
2022/01/19 10:30,371.48,373.62,369.78,370.8
2022/01/19 14:30,372.02,374.69,368.19,371.86
2022/01/19 18:30,371.92,372.27,366.21,366.55
2022/01/19 22:30,371.92,372.27,366.21,366.55
2022/01/20 02:30,371.92,372.27,366.21,366.55
2022/01/20 06:30,371.92,372.27,366.21,366.55
2022/01/20 10:30,371.92,372.27,366.21,366.55
2022/01/20 14:30,369.72,373.86,369.56,370.49
2022/01/20 18:30,370.51,371.29,361.17,361.63
2022/01/20 22:30,370.51,371.29,361.17,361.63
2022/01/21 02:30,370.51,371.29,361.17,361.63
2022/01/21 06:30,370.51,371.29,361.17,361.63
2022/01/21 10:30,370.51,371.29,361.17,361.63
2022/01/21 14:30,359.47,362.17,354.24,355.83
2022/01/21 18:30,355.78,357.73,351.41,351.41
2022/01/21 22:30,355.78,357.73,351.41,351.41
2022/01/22 02:30,355.78,357.73,351.41,351.41
2022/01/22 06:30,355.78,357.73,351.41,351.41
2022/01/22 10:30,355.78,357.73,351.41,351.41
2022/01/22 14:30,355.78,357.73,351.41,351.41
2022/01/22 18:30,355.78,357.73,351.41,351.41
2022/01/22 22:30,355.78,357.73,351.41,351.41
2022/01/23 02:30,355.78,357.73,351.41,351.41
2022/01/23 06:30,355.78,357.73,351.41,351.41
2022/01/23 10:30,355.78,357.73,351.41,351.41
2022/01/23 14:30,355.78,357.73,351.41,351.41
2022/01/23 18:30,355.78,357.73,351.41,351.41
2022/01/23 22:30,355.78,357.73,351.41,351.41
2022/01/24 02:30,355.78,357.73,351.41,351.41
2022/01/24 06:30,355.78,357.73,351.41,351.41
2022/01/24 10:30,355.78,357.73,351.41,351.41
2022/01/24 14:30,345.905,347.63,334.16,340.57
2022/01/24 18:30,340.58,353.98,340.46,353.57
2022/01/24 22:30,340.58,353.98,340.46,353.57
2022/01/25 02:30,340.58,353.98,340.46,353.57
2022/01/25 06:30,340.58,353.98,340.46,353.57
2022/01/25 10:30,340.58,353.98,340.46,353.57
2022/01/25 14:30,346.67,348.71,341.69,345.52
2022/01/25 18:30,345.46,351.02,344.12,344.93
2022/01/25 22:30,345.46,351.02,344.12,344.93
2022/01/26 02:30,345.46,351.02,344.12,344.93
2022/01/26 06:30,345.46,351.02,344.12,344.93
2022/01/26 10:30,345.46,351.02,344.12,344.93
2022/01/26 14:30,352.92,354.62,349.25,353.32
2022/01/26 18:30,353.3,356.86,340.8,344.77
2022/01/26 22:30,353.3,356.86,340.8,344.77
2022/01/27 02:30,353.3,356.86,340.8,344.77
2022/01/27 06:30,353.3,356.86,340.8,344.77
2022/01/27 10:30,353.3,356.86,340.8,344.77
2022/01/27 14:30,349.4,351.25,340.85,341.01
2022/01/27 18:30,340.98,345.07,340.05,341.1
2022/01/27 22:30,340.98,345.07,340.05,341.1
2022/01/28 02:30,340.98,345.07,340.05,341.1
